ID,Raw,Date,Data,Excel Date,
1,"18th September 2004 @ 93 Feet East, London, UK",18th September 2004 ," 93 Feet East, London, UK",18/09/2004,
2,"30th January 2005 @ Chinnerys, Southend, UK",30th January 2005 ," Chinnerys, Southend, UK",30/01/2005,
3,"3rd April 2005 @ Bread And Roses, Clapham, London, UK",3rd April 2005 ," Bread And Roses, Clapham, London, UK",03/04/2005,
4,"7th April 2005 @ The Luminaire, Kilburn, London, UK",7th April 2005 ," The Luminaire, Kilburn, London, UK",07/04/2005,
5,"8th June 2005 @ The Underworld, London, UK",8th June 2005 ," The Underworld, London, UK",08/06/2005,
6,"5th September 2005 @ The Spitz, London, UK",5th September 2005 ," The Spitz, London, UK",05/09/2005,
7,"13th September 2005 @ London ICA, UK",13th September 2005 ," London ICA, UK",13/09/2005,
8,"6th October 2005 @ Utopia Cafe, Southend, UK",6th October 2005 ," Utopia Cafe, Southend, UK",06/10/2005,
9,"7th October 2005 @ The Curzon Cinema, Soho, London, UK",7th October 2005 ," The Curzon Cinema, Soho, London, UK",07/10/2005,
10,"14th October 2005 @ Bradford Love Apple Cafe, UK",14th October 2005 ," Bradford Love Apple Cafe, UK",14/10/2005,
11,"28th October 2005 @ Club Fandango, Plymouth, UK",28th October 2005 ," Club Fandango, Plymouth, UK",28/10/2005,
12,"30th October 2005 @ The Bull and Gate, London, UK",30th October 2005 ," The Bull and Gate, London, UK",30/10/2005,
13,"4th November 2005 @ The Tunbridge Wells Forum, UK",4th November 2005 ," The Tunbridge Wells Forum, UK",04/11/2005,
14,"5th November 2005 @ The Cellar Bar, Cambridge, UK",5th November 2005 ," The Cellar Bar, Cambridge, UK",05/11/2005,
15,"6th November 2005 @ Chinnerys, Southend, UK",6th November 2005 ," Chinnerys, Southend, UK",06/11/2005,
16,"14th November 2005 @ The Star, Guildford, UK",14th November 2005 ," The Star, Guildford, UK",14/11/2005,
17,"16th November 2005 @ Junktion 7, Nottingham, UK",16th November 2005 ," Junktion 7, Nottingham, UK",16/11/2005,
18,"17th November 2005 @ The Fenton, Leeds, UK",17th November 2005 ," The Fenton, Leeds, UK",17/11/2005,
19,"18th November 2005 @ The Fighting Cocks, Kingston-Upon-Thames, UK",18th November 2005 ," The Fighting Cocks, Kingston-Upon-Thames, UK",18/11/2005,
20,"20th November 2005 @ The Retro Bar, Manchester, UK",20th November 2005 ," The Retro Bar, Manchester, UK",20/11/2005,
21,"24th November 2005 @ Silks Bar, Basingstoke, UK",24th November 2005 ," Silks Bar, Basingstoke, UK",24/11/2005,
22,"25th November 2005 @ F-Bar, Leicester, UK",25th November 2005 ," F-Bar, Leicester, UK",25/11/2005,
23,"26th November 2005 @ The Glebe, Stoke, UK",26th November 2005 ," The Glebe, Stoke, UK",26/11/2005,
24,"1st December 2005 @ The Marquee, Norwich, UK",1st December 2005 ," The Marquee, Norwich, UK",01/12/2005,
25,"7th December 2005 @ Kiss Bar, Oxford, UK",7th December 2005 ," Kiss Bar, Oxford, UK",07/12/2005,
26,"8th December 2005 @ Phatz Bar, Maidenhead, UK",8th December 2005 ," Phatz Bar, Maidenhead, UK",08/12/2005,
27,"11th December 2005 @ The Elbow Rooms, Islington, London, UK",11th December 2005 ," The Elbow Rooms, Islington, London, UK",11/12/2005,
28,"13th December 2005 @ The Hub, Cheltenham, UK",13th December 2005 ," The Hub, Cheltenham, UK",13/12/2005,
29,"17th December 2005 @ Nambucca, Holloway, London, UK",17th December 2005 ," Nambucca, Holloway, London, UK",17/12/2005,
30,"8th January 2006 @ The ICA, London, UK",8th January 2006 ," The ICA, London, UK",08/01/2006,
31,"11th January 2006 @ The Depot, Riga, Latvia",11th January 2006 ," The Depot, Riga, Latvia",11/01/2006,
32,"13th January 2006 @ Fontaine palace, Liepaja, Latvia",13th January 2006 ," Fontaine palace, Liepaja, Latvia",13/01/2006,
33,"15th January 2006 @ The Riga New Theatre, Riga, Latvia",15th January 2006 ," The Riga New Theatre, Riga, Latvia",15/01/2006,
34,"19th January 2006 @ The Barbican Theatre, Plymouth, UK",19th January 2006 ," The Barbican Theatre, Plymouth, UK",19/01/2006,
35,"20th January 2006 @ The Peel, Kingston-Upon-Thames, UK",20th January 2006 ," The Peel, Kingston-Upon-Thames, UK",20/01/2006,
36,"22nd January 2006 @ Mad Hatters, Inverness, UK",22nd January 2006 ," Mad Hatters, Inverness, UK",22/01/2006,
37,"23rd January 2006 @ 13th Note, Glasgow, UK",23rd January 2006 ," 13th Note, Glasgow, UK",23/01/2006,
38,"24th January 2006 @ The Rep Theatre, Dundee, UK",24th January 2006 ," The Rep Theatre, Dundee, UK",24/01/2006,
39,"25th January 2006 @ The Tunnels, Aberdeen, UK",25th January 2006 ," The Tunnels, Aberdeen, UK",25/01/2006,
40,"26th January 2006 @ Parkers, Kilmarnock, UK",26th January 2006 ," Parkers, Kilmarnock, UK",26/01/2006,
41,"31st January 2006 @ The Cellar Bar, Oxford, UK",31st January 2006 ," The Cellar Bar, Oxford, UK",31/01/2006,
42,"1st February 2006 @ Bar Pure, Sunderland, UK",1st February 2006 ," Bar Pure, Sunderland, UK",01/02/2006,
43,"2nd February 2006 @ Jax Bar, Hartlepool, UK",2nd February 2006 ," Jax Bar, Hartlepool, UK",02/02/2006,
44,"3rd February 2006 @ Rachel’s House, Newcastle, UK",3rd February 2006 ," Rachel’s House, Newcastle, UK",03/02/2006,
45,"4th February 2006 @ Bangor University, Bangor, UK",4th February 2006 ," Bangor University, Bangor, UK",04/02/2006,
46,"5th February 2006 @ Keele University, Keele, UK",5th February 2006 ," Keele University, Keele, UK",05/02/2006,
47,"6th February 2006 @ Chris’s House, Wigan, UK",6th February 2006 ," Chris’s House, Wigan, UK",06/02/2006,
48,"7th February 2006 @ Bar Fresa, Liverpool, UK",7th February 2006 ," Bar Fresa, Liverpool, UK",07/02/2006,
49,"8th February 2006 @ The Glebe, Stoke, UK",8th February 2006 ," The Glebe, Stoke, UK",08/02/2006,
50,"9th February 2006 @ Monkey Chews, Camden, London, UK",9th February 2006 ," Monkey Chews, Camden, London, UK",09/02/2006,
51,"11th February 2006 @ Terry’s, Trowbridge, UK",11th February 2006 ," Terry’s, Trowbridge, UK",11/02/2006,
52,"14th February 2006 @ The Steamboat Tavern, Ipswich, UK",14th February 2006 ," The Steamboat Tavern, Ipswich, UK",14/02/2006,
53,"19th February 2006 @ Nambucca, Holloway, London, UK",19th February 2006 ," Nambucca, Holloway, London, UK",19/02/2006,
54,"21st February 2006 @ The Railway Inn, Winchester, UK",21st February 2006 ," The Railway Inn, Winchester, UK",21/02/2006,
55,"23rd February 2006 @ The Registry, Portsmouth, UK",23rd February 2006 ," The Registry, Portsmouth, UK",23/02/2006,
56,"25th February 2006 @ The Windmill, Brixton, London, UK",25th February 2006 ," The Windmill, Brixton, London, UK",25/02/2006,
57,"26th February 2006 @ Bush Hall, London, UK",26th February 2006 ," Bush Hall, London, UK",26/02/2006,
58,"28th February 2006 @ Babylove, Oxford, UK",28th February 2006 ," Babylove, Oxford, UK",28/02/2006,
59,"3rd March 2006 @ The Marquee, Hertford, UK",3rd March 2006 ," The Marquee, Hertford, UK",03/03/2006,
60,"4th March 2006 @ The Square, Harlow, UK",4th March 2006 ," The Square, Harlow, UK",04/03/2006,
61,"5th March 2006 @ The Quicksilver Mail, Yeovil, UK",5th March 2006 ," The Quicksilver Mail, Yeovil, UK",05/03/2006,
62,"6th March 2006 @ The Globe, Brighton, UK",6th March 2006 ," The Globe, Brighton, UK",06/03/2006,
63,"10th March 2006 @ The Roundabout, High Wycombe, UK",10th March 2006 ," The Roundabout, High Wycombe, UK",10/03/2006,
